region_name,population
Inca,33319
Lloseta,5988
Llubí,2273
Mancor de la Vall,1509
Maria de la Salut,2227
Marratxí,37193
Montuïri,2912
Muro,7085
Palma,416065
Pollença,16283
Porreres,5502
Petra,2860
Puigpunyent,2012
Sa Pobla,13475
Sant Joan,2108
Sant Llorenç des Cardassar,8431
Santa Eugènia,1561
Santa Margalida,12485
Santa Maria del Camí,7375
Santanyí,12237
Selva,4014
Sencelles,3290
Ses Salines,4960
Sineu,3862
Sóller,13705
Son Servera,11568
Valldemossa,1969
Vilafranca de Bonany,3380
Alaró,5572
Alcúdia,20241
Algaida,5642
Andratx,11271
Ariany,868
Artà,7845
Banyalbufar,515
Binissalem,8567
Búger,1050
Bunyola,6809
Calvià,50559
Campos,10862
Capdepera,11868
Campanet,2640
Consell,4053
Costitx,1288
Deià,617
Escorca,212
Esporles,5062
Estellencs,315
Felanitx,17780
Fornalutx,660
Lloret de Vistalegre,1372
Llucmajor,36914
Manacor,43808
total-mallorca,896038
